,name,info,opentime,lat,lng,address,category,phone,label,station,average_score,thumbnail
0,조방낙지,0,0,35.2211557,128.984661,부산광역시 강서구 대저1동 333-7,"['낙지', ' 낙곱새']",051-941-8550,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20191123064211857_photo_43fde11766ba.jpg
1,서민삼겹,0,"월-금,토오전 11시 - 오전 5시|일요일오전 11시 - 자정 12시",35.1862187,129.0829856,부산광역시 연제구 연산동 729-8,"['이베리코흑돼지', ' 고기집']",051-868-9259,음식점,0,0,0
2,경대컵밥 만덕점,0,매일오전 10시 - 오후 10시,35.208067,129.037618,부산광역시 북구 만덕동 849,"['한식', ' 컵밥']",051-337-3376,음식점,0,0,0
3,하대승담양갈비 가야점,0,매일오전 11시 30분 - 오후 10시                                            (BT 14:30~15:30),35.1551502,129.0369984,부산광역시 부산진구 가야동 56-2,"['갈비', ' 갈비탕']",051-895-3392,음식점,0,0,0
4,서울깍두기,0,"월-금,토오전 9시 - 오후 9시|휴무일매주 일요일",35.1590705,129.0612358,부산광역시 부산진구 부전동 125-6,"['설렁탕', ' 양곰탕']",051-805-5578,음식점,0,0,0
5,울릉도소주방,0,"월-금,토오후 4시 - 오전 2시|휴무일매주 일요일",35.1720891,129.0698556,부산광역시 부산진구 양정동 393-10,"['맥주', ' 호프']",051-853-0905,음식점,0,0,0
6,대복집,0,매일오전 9시 - 오후 9시,35.1802996,129.072833,부산광역시 연제구 연산동 1514-1,"['복국', ' 복집']",051-866-8228,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/54664/51761/54664_51761_74_0_2727_201611111773325.jpg
7,오케이회포차,0,0,35.2105632,129.0378013,부산광역시 북구 만덕동 311,['횟집'],051-336-4313,음식점,0,0,0
8,유메노다이닝,0,"월-금,토오후 5시 30분 - 오전 1시|휴무일매주 일요일",35.2447327,129.0899842,부산광역시 금정구 구서동 446-18,"['일식당', ' 연어아보카도샐러드']",051-911-1518,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59045/54244/59045_54244_74_0_750_2018826142014894.jpg
9,양반게장 전포직영점,0,월-금오전 11시 - 오후 9시|토요일오전 11시 - 오후 10시|휴무일매주 일요일,35.1652891,129.066468,부산광역시 부산진구 전포동 558,['게장'],051-710-5910,음식점,0,0,0
10,양빠,0,매일오후 3시 - 오전 1시,35.0995221,129.0352504,부산광역시 중구 동광동1가 8-3,"['고기집', ' 양갈비']",051-248-0224,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/55505/52702/55505_52702_80_0_2858_2016929164453504.jpg
11,대학식당,0,"월-금,토오전 9시 30분 - 오후 10시|휴무일매주 일요일",35.1015396,129.0183058,부산광역시 서구 아미동2가 9-10,"['두루치기', ' 밥집']",051-256-3834,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59433/57049/59433_57049_89_0_514_2017222183529263.jpg
