,name,price,place_id
0,낙지볶음,6000,1
1,낙새볶음,7000,1
2,낙곱새볶음,8000,1
3,불낙전골 대,38000,1
4,곱창전골 대,40000,1
5,실속모듬세트A이베리코흑돼지꽃목살300g늑간살300g흑새우블랙타이거새우6미,50000,2
6,실속모듬세트B통마리왕대패300g우삼겹300g흑새우6미,29000,2
7,이베리코흑돼지100g꽃목살늑간살,7500,2
8,통마리 왕대패100g,3900,2
9,한돈 대패100g,4900,2
10,흑돼지 대패100g,3900,2
11,생삼겹암돼지100g,6500,2
12,항정살100g,5900,2
13,우소삼겹100g,3900,2
14,차돌박이100g,7900,2
15,쫄깃돼지껍데기100g,3500,2
16,양념돼지갈비200g,5900,2
17,흑새우블랙타이거새우 15미,25000,2
18,누룽지,4000,2
19,냉면물비빔,4500,2
20,육개장,6000,2
21,공기밥,1000,2
22,점심특선  삼겹 비빔밥,8000,2
23,점심특선   한돈 김치찜 소,20000,2
24,점심특선  한돈 김치찜 중,30000,2
25,점심특선  한돈김치찜 대,40000,2
26,점심특선  사골우거지국,7000,2
27,점심특선  차돌 된장찌개,8000,2
28,점심특선   해물된장 찌개,8000,2
29,점심특선   소불고기 전골 소,20000,2
30,점심특선   소불고기 전골 중,30000,2
31,점심특선  소불고기 전골 대,40000,2
32,점심특선  냉면 물,5000,2
33,점심특선  냉면 비빔,60000,2
34,소불고기 컵밥,5500,3
35,떡갈비 컵밥,5200,3
36,치즈 컵밥,5000,3
37,오리훈제 컵밥,5200,3
38,제육 컵밥,5200,3
39,참치마요 컵밥,4700,3
40,베이컨 컵밥,5200,3
41,담양갈비100g,3900,4
42,담양갈비A세트,26000,4
43,담양갈비B세트,40500,4
44,담양갈비탕,10000,4
45,도토리들깨수제비,9000,4
46,코다리물회국수,7500,4
47,설렁탕,8000,5
48,양곰탕,9000,5
49,꼬리탕,18000,5
50,도가니탕,15000,5
51,한우족탕,18000,5
52,감자전명태전파전굴전,10000,6
53,돼지두루치기,10000,6
54,돼지껍데기,10000,6
55,명태찜,10000,6
56,병어무침,10000,6
57,오징어무침,10000,6
58,닭똥집,10000,6
59,두부김치,10000,6
60,마구로,10000,6
61,학꽁치,10000,6
62,포항과메기,15000,6
63,참호래기,15000,6
64,해물모듬,15000,6
65,홍어회,15000,6
66,문어숙회,15000,6
67,소라숙회,15000,6
68,전복찜,15000,6
69,아구찜 小,15000,6
70,아구찜 中,20000,6
71,아구찜 大,25000,6
72,가오리찜,13000,6
73,조기매운탕,10000,6
74,알탕,10000,6
75,오뎅탕,10000,6
76,동태탕,10000,6
77,생고기김치찌개,10000,6
78,고래고기,0,6
79,아구탕,15000,6
80,닭도리탕 小,10000,6
81,닭도리탕 中,15000,6
82,닭도리탕 大,20000,6
83,편육,10000,6
84,회무침,10000,6
85,해삼,15000,6
86,멍게,10000,6
87,뼈없는닭발,10000,6
88,장어구이,15000,6
89,소횟간,10000,6
90,꼬막,13000,6
91,포항과베기  대,25000,6
92,닭도리탕,10000,6
93,생복매운탕지리,24000,7
94,까치복매운탕지리,21000,7
95,은복매운탕지리,11000,7
96,아구탕,10000,7
97,생복수육 大,100000,7
98,생복수육 小,70000,7
99,까치복수육 大,70000,7
100,까치복수육 小,60000,7
101,은복수육 大,50000,7
102,은복수육 小,40000,7
103,아구찜 大,40000,7
104,아구찜 小,30000,7
105,복찜 大,40000,7
106,복찜 小,30000,7
107,에피타이저 3종,0,9
108,사시미모리아와세,39000,9
109,옥돔시오야끼,0,9
110,유메노멘,23000,9
111,오마카세스시,29000,9
112,새우튀김,13000,9
113,히라메치즈샐러드,23000,9
114,연어아보카도샐러드,23000,9
115,후토마끼,15000,9
116,제철스시,0,9
117,한우1타다키스시,20000,9
118,국내산 암꽃게 간장게장,12000,10
119,순살양념게장100g,7900,10
120,간장 깐새우장,6900,10
121,국내산 금게 양념게장,9900,10
122,양념새우장,6900,10
123,양등심1인분100g,15000,11
124,양갈비1인분1대,15000,11
125,갈비탕,8000,12
126,육개장,8000,12
127,동태탕,8000,12
128,김치찌개,6000,12
129,미역국,6000,12
130,한마리 통닭,7000,13
131,두마리 통닭,13000,13
132,가마치 순살,8000,13
133,볼로네제 딸리아뗄레,15000,14
134,프렌치토스트,12000,14
135,시금치 오일 파스타,14000,14
136,물밀면,4000,15
137,비빔밀면,4500,15
138,가오리비빔면,5500,15
139,물밀면,5000,16
140,물밀면 곱,6000,16
141,물비빔면,5500,16
142,비빔면,5500,16
143,비빔면 곱,6500,16
144,회비빔면,7000,16
145,회비빔면 곱,8000,16
146,만두,3000,16
147,할맥500cc,3300,17
148,오징어입,7000,17
149,먹태,13000,17
150,옛날 통닭,12000,17
151,치즈 라볶이,8000,17
152,30cm 마약 치즈 돈까스,9000,17
153,버터구이 오징어,9000,17
154,통통 오다리,7000,17
155,반건조 오징어,9000,17
156,한치,8000,17
157,마른 오징어,9000,17
158,노가리,6000,17
159,참 쥐포,7000,17
160,아귀포,6000,17
161,튀김쥐포,3000,17
162,새끼 먹태,7000,17
163,족발,45000,18
164,반족발,30000,18
165,수육,30000,18
166,족탕,15000,18
167,얼큰칼국수보리밥,6000,18
168,들깨칼국수보리밥,6000,18
169,볶음칼국수보리밥,6000,18
170,물만두,3000,18
171,공기밥,1000,18
172,족구이,20000,18
173,감자탕  소,25000,18
174,감자탕  대,35000,18
175,사골칼국수보리밥,6000,18
176,족발정식,8000,18
177,감자탕 중,30000,18
178,동태탕 대,35000,18
179,동태탕 중,25000,18
180,보리밥정식,7000,18
181,열무국수,6000,18
182,수육정식점심특선,8000,18
183,코스 A,70000,19
184,코스 B,80000,19
185,베이직와플,8500,20
186,에스프레소,4000,20
187,카페라떼,5000,20
188,바닐라라떼,5500,20
189,카페모카,6000,20
190,핫초코,6000,20
191,카페티라미수,6500,20
192,오마카세,35000,21
193,제철모듬사시미,35000,21
194,참다랑어 뱃살,50000,21
195,오마카세초밥,20000,21
196,모듬초밥,12000,21
197,생연어초밥,15000,21
198,전복과 새우버터구이,18000,21
199,일본식 통삼겹 수육,15000,21
200,나메로우,15000,21
201,부타나베,20000,21
202,꽃게탕,25000,21
203,소주맥주,4000,21
204,산토리 하이볼,8000,21
205,에비스 프리미엄 생맥주,10000,21
206,아메리카노,3500,22
207,카페라떼,4000,22
208,예가체프 G2아리차 워시드,6000,22
209,실속모듬세트소,25000,23
210,실속모듬세트 中,35000,23
211,실속모듬세트 大,45000,23
212,참치반연어반 세트 小,30000,23
213,참치반연어반 세트 中,40000,23
214,참치반연어반 세트 大,50000,23
215,생아구찜,15000,25
216,닭도리탕,15000,25
217,코다리찜,13000,25
218,육전,13000,25
219,홍어전,15000,25
220,부추전,10000,25
221,골뱅이무침,13000,25
222,가오리무침,12000,25
223,두부김치,10000,25
224,간장새우,12000,25
225,닭도리탕,26000,26
226,매운탕,8000,27
227,장어탕,20000,27
228,초장값,2000,27
229,해물연포탕小,45000,28
230,낙곱새볶음공기밥,11000,28
231,낙지볶음공기밥,9500,28
232,산낙지회,30000,28
233,무침회,8000,28
234,산낙지전골,43000,28
235,황궁쟁반짜장,6500,29
236,황궁해물짬뽕,7000,29
237,황궁간짜장,7000,29
238,황궁볶음밥,7500,29
239,황궁잡채밥,7500,29
240,황궁볶음우동,7000,29
241,황궁잡탕밥,10000,29
242,황궁마파두부밥,7500,29
243,짜장면,0,30
244,싸이플렉스버거,0,33
245,언빌리버블버거,0,33
246,인크레더블버거,0,33
247,화이트갈릭버거,0,33
248,딥치즈버거,0,33
249,싸이버거,0,33
250,디럭스불고기버거,0,33
251,새우불고기버거,0,33
252,바삭크림치즈볼,0,33
253,코울슬로,0,33
254,콘샐러드,0,33
255,랜치소스,0,33
256,케이준양념감자,0,33
257,아메리카노,1500,34
258,지도리우동,8000,35
259,키즈네우동,7000,35
260,니꾸우동,8000,35
261,니꾸소바,8500,35
262,지도리소바,8500,35
263,키즈네소바,7500,35
264,어린이세트,5000,35
265,자루우동,7000,35
266,자루소바,7500,35
267,부타동,7000,35
268,비빔쌀국수,5000,36
269,김치말이냉쌀국수,5000,36
270,오뎅쌀국수,5000,36
271,코다리회쌀국수,6000,36
272,꼬막비빔밥,6000,36
273,닭칼국수,5000,37
274,얼큰 닭칼국수,5000,37
275,매생이 칼국수,5500,37
276,들깨 칼국수,5500,37
277,비빔밥,5000,37
278,판모밀,6000,37
279,블루 하와이,3500,38
280,오리지널 소프트,1500,38
281,메가 트리플초코,3500,38
282,아메리카노,3000,39
283,라떼,4000,39
284,콜드브루,5000,39
285,브루벡,0,39
286,크로와상샌드위치,8000,39
287,몬테크리스토,12000,39
288,티라미수,6000,39
289,레일위초밥,2050,40
290,알밥,3900,40
291,우동,4500,40
292,메밀소바,6500,40
293,야끼우동,6500,40
294,제주흑생오겹,9800,41
295,제주생오겹,7800,41
296,제주생항정,9000,41
297,제주생가브리,9000,41
298,막창,7000,41
299,카페 아메리카노,3200,42
300,카페 라떼,3700,42
301,바닐라 라떼,3900,42
302,토피 넛 라떼,4000,42
303,에스프레소,2000,43
304,아메리카노,2000,43
305,플랫화이트,2900,43
306,카페라떼,2900,43
307,카페모카,3400,43
308,바닐라라떼,3400,43
309,헤이즐넛 라떼,3400,43
310,콜드브루,3400,43
311,디카페인 콜드브루,3400,43
312,바리스라떼,3900,43
313,버터라떼,3900,43
314,오레그랏세,3400,43
315,바리슈페너,3400,43
316,엑설런트퐁당,4400,43
317,더블프렌치라떼,4900,43
318,앙라떼,3900,43
319,초코라떼,3900,43
320,딸기라떼,3900,43
321,제주말차라떼,3900,43
322,오레오스무디,3900,43
323,딸기요거트스무디,3900,43
324,플레인스무디,3900,43
325,레몬에이드,3900,43
326,자몽에이드,3900,43
327,패션푸르트에이드,3900,43
328,제주청귤에이드,3900,43
329,망고패션라떼,3900,43
330,생딸기라떼,3900,43
331,착즙주스,5900,43
332,라벤더,2900,43
333,얼그레이,2900,43
334,캐모마일,2900,43
335,페퍼민트,2900,43
336,히비스커스,2900,43
337,허니유자차,3400,43
338,허니자몽차,3400,43
339,허니레몬차,3400,43
340,제주청귤차,3400,43
341,아이스티,2900,43
342,해물칼국수,6000,44
343,해물샤브샤브 소,25000,44
344,해물샤브샤브 중,35000,44
345,해물샤브샤브 대,45000,44
346,월남쌈,3000,44
347,짜요,2000,44
348,수육,8000,44
349,바게트샌드위치,5000,44
350,반꿘 소,7000,44
351,반꿘 대,10000,44
352,세트1,25000,44
353,세트2,29000,44
354,세트3,20000,44
355,세트4,50000,44
356,세트5,45000,44
357,소주,4000,44
358,맥주,4000,44
359,음료수,1000,44
360,사이곤맥주,5000,44
361,하노이맥주,5000,44
362,코코넛주스,2000,44
363,돼지두루치기 1인분,7000,44
364,돼지두루치기 소,15000,44
365,돼지두루치기 중,20000,44
366,돼지두루치기 대,25000,44
367,분짜하노이,6000,44
368,패션후르츠퓨레주스,4000,44
369,망고주스,4000,44
370,팥빙수,4000,44
371,코코넛빔,4000,44
372,사탕수수주스,4000,44
373,원두냉커피,4000,44
374,그집짬뽕,7000,45
375,고기자장면,5500,45
376,차돌짬뽕,8500,45
377,탕수육,19000,45
378,볶음밥,6500,45
379,땡초짬뽕,7000,45
380,고기군만두,3000,45
381,멘보샤,8000,45
382,새우짬뽕,8000,45
383,땡초짜장,6000,45
384,달걀볶음밥,6500,45
385,새우볶음밥,7500,45
386,고기짜장밥,6000,45
387,뜨락 쌈 정식,7500,46
388,순두부 쌈 정식,7500,46
389,재첩 쌈 정식,8000,46
390,달콤 닭강정,0,48
391,매콤 닭강정,0,48
392,마늘간장,0,48
393,수원왕갈비,0,48
394,마라닭강정,0,48
395,순살후라이드,0,48
396,돼지국밥,8000,49
397,섞어국밥,8000,49
398,순대국밥,8000,49
399,내장국밥,8000,49
400,수육백반,10000,49
401,돼지갈비찜정식,10000,49
402,수육,23000,49
403,구삼이세트,18900,50
404,간삼이세트,18900,50
405,고삼이세트,18900,50
406,한입구이갈비세트,19900,50
407,모듬회,0,51
408,물회,15000,51
409,회덮밥,15000,51
410,전복죽,20000,51
411,초밥용알밥,3000,51
412,카페 아메리카노,4500,52
413,카페 라떼,5000,52
414,스타벅스 돌체 라떼,5900,52
415,카라멜 마키아또,5900,52
416,카푸치노,5000,52
417,카페 모카,5500,52
418,화이트 초콜릿 모카,5900,52
419,콜드 브루,4900,52
420,자몽 허니 블랙 티,5700,52
421,아이스 자몽 허니 블랙 티,5700,52
422,망고 바나나 블렌디드,6300,52
423,에스프레소 프라푸치노,5500,52
424,자바 칩 프라푸치노,6300,52
425,아메리카노,1500,54
426,카페라떼,2800,54
427,카푸치노,2800,54
428,바닐라라떼,3300,54
429,헤이즐럿라떼,3300,54
430,카라멜마끼아또,3300,54
431,돌체라떼,3300,54
432,카페모카,3800,54
433,바나나라떼,3800,54
434,초코라떼,3300,54
435,고구마라떼,3800,54
436,오레오라떼,3800,54
437,토피넛라떼,3800,54
438,오곡라떼,3800,54
439,블루베리라떼,4000,54
440,치즈케이크,4500,54
441,브라우니,4500,54
442,티라미수,4500,54
443,크림치즈 베이글,4000,54
444,모심 슈페너,3800,54
445,모심 말차라떼,3800,54
446,모심 말차 샷라떼,4300,54
447,모심 스페셜 밀크티,5000,54
448,수제 요거트,5500,54
449,수제 과일 요거트,6000,54
450,멸치국수,4000,55
451,비빔국수,5000,55
452,보쌈,30000,55
453,수육두부김치,20000,55
454,땡초장육,20000,55
455,차돌박이숙주볶음,17000,55
456,가오리무침,18000,55
457,코다리찜,18000,55
458,삼합 수입산,38000,55
459,삼합국내산,60000,55
460,모듬회3인분,50000,56
461,모듬회4인분,60000,56
462,도다리3인분,80000,56
463,도다리4인분,100000,56
464,우럭1KG,25000,56
465,밀치1KG,24000,56
466,광어1KG,32000,56
467,멍게,12000,56
468,짬뽕물회,15000,56
469,물메기탕,12000,56
470,생우럭매운탕,15000,56
471,전복죽,15000,56
472,와인,39000,57
473,칵테일,10000,57
474,위스키,0,57
475,비어,0,57
476,푸드,0,57
477,하바네로 포테킹,20000,58
478,싸이순살,20900,58
479,포테킹 콤보,20500,58
480,펌치킨,18000,58
481,빠텐더,18000,58
482,뿌링클 반마리 세트,16500,58
483,골드킹 반마리 세트,16000,58
484,맛초킹 반마리 세트,16000,58
485,후라이드 반마리 세트,16000,58
486,콤보,20000,58
487,윙스타,20000,58
488,오스틱,20000,58
489,골드킹,17000,58
490,뿌링클,18000,58
491,뿌링클HOT,19000,58
492,맛초킹,18000,58
493,레드킹,19000,58
494,후라이드,17000,58
495,포테킹 후라이드,19000,58
496,핫후라이드,18000,58
497,양념치킨,18000,58
498,매운맛양념치킨,19000,58
499,바삭클,16000,58
