place_id,name,info,opentime,lat,lon,address,category,phone,label,station,average_score,thumbnail,score_count
1,조방낙지,,,35.2211557,128.984661,부산광역시 강서구 대저1동 333-7,1,051-941-8550,낙지/낙곱새,,3.17,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20191123064211857_photo_43fde11766ba.jpg,9
2,서민삼겹,,"월-금,토오전 11시 - 오전 5시|일요일오전 11시 - 자정 12시",35.1862187,129.0829856,부산광역시 연제구 연산동 729-8,1,051-868-9259,고기,연산역 10번 출구에서99m,4.57,,21
3,경대컵밥 만덕점,,매일오전 10시 - 오후 10시,35.208067,129.037618,부산광역시 북구 만덕동 849,1,051-337-3376,한식,만덕역 1번 출구에서564m,0,,0
4,하대승담양갈비 가야점,,매일오전 11시 30분 - 오후 10시                                            (BT 14:30~15:30),35.1551502,129.0369984,부산광역시 부산진구 가야동 56-2,1,051-895-3392,한식,동의대역 2번 출구에서370m,4.36,,29
5,서울깍두기,,"월-금,토오전 9시 - 오후 9시|휴무일매주 일요일",35.1590705,129.0612358,부산광역시 부산진구 부전동 125-6,1,051-805-5578,한식,,0,,0
6,울릉도소주방,,"월-금,토오후 4시 - 오전 2시|휴무일매주 일요일",35.1720891,129.0698556,부산광역시 부산진구 양정동 393-10,1,051-853-0905,술집,양정역 3번 출구에서159m,4.54,,47
7,대복집,,매일오전 9시 - 오후 9시,35.1802996,129.072833,부산광역시 연제구 연산동 1514-1,1,051-866-8228,한식,,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/54664/51761/54664_51761_74_0_2727_201611111773325.jpg,0
8,오케이회포차,,,35.2105632,129.0378013,부산광역시 북구 만덕동 311,1,051-336-4313,회,만덕역 1번 출구에서249m,4.8,,5
9,유메노다이닝,,"월-금,토오후 5시 30분 - 오전 1시|휴무일매주 일요일",35.2447327,129.0899842,부산광역시 금정구 구서동 446-18,1,051-911-1518,일식,구서역 1번 출구에서320m,4.43,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59045/54244/59045_54244_74_0_750_2018826142014894.jpg,7
10,양반게장 전포직영점,,월-금오전 11시 - 오후 9시|토요일오전 11시 - 오후 10시|휴무일매주 일요일,35.1652891,129.066468,부산광역시 부산진구 전포동 558,1,051-710-5910,한식,부전역 8번 출구에서494m,5,,2
11,양빠,,매일오후 3시 - 오전 1시,35.0995221,129.0352504,부산광역시 중구 동광동1가 8-3,1,051-248-0224,고기,남포역 7번 출구에서118m,4.75,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/55505/52702/55505_52702_80_0_2858_2016929164453504.jpg,10
12,대학식당,,"월-금,토오전 9시 30분 - 오후 10시|휴무일매주 일요일",35.1015396,129.0183058,부산광역시 서구 아미동2가 9-10,1,051-256-3834,한식,,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59433/57049/59433_57049_89_0_514_2017222183529263.jpg,0
13,가마치통닭 명장점,,월-금오후 3시 - 오후 11시|토요일오후 1시 - 오후 11시|휴무일매주 일요일,35.2079432,129.1024219,부산광역시 동래구 명장동 326-4,1,051-522-9192,치킨,명장역 3번 출구에서190m,4.81,,8
14,루흐,,"화,수,목,금,토/일오전 11시 30분 - 오후 9시|휴무일매주 월요일",35.0982282,129.0340254,부산광역시 중구 광복동1가 56-1,1,,양식,,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201115110537_photo3_ec2755d07c64.jpg,0
