,title,user_id,rank,review,subway,theme_keyword
12208,40계단,o32059,3,자매품: 60계(단) 치킨,,
12208,40계단,10k2j6v,4,,,
12208,40계단,1lq0eca,3,,,
12208,40계단,1utpk4g,3,계단에서 사진 한 장,,
12207,APEC나루공원,ei95om,5,밥먹고 걷기 좋아요,,
12207,APEC나루공원,10gl9nf,5,,,
12207,APEC나루공원,17855pa,5,,,
12207,APEC나루공원,1dk2guu,5,주차해놓고 산책하기 좋아요. 뷰도 좋고 쾌적.,,
12207,APEC나루공원,12h7a5i,5,주차하기도 좋고 넘 좋아요  해운대 바닷가도 걷고  강아지 산책 자주가요,,
12207,APEC나루공원,qva7ph,5,,,
12207,APEC나루공원,qu7bh8,5,,,
12207,APEC나루공원,o32059,5,"우연찮게 가게 된 곳입니다.  여유롭고 평화로운 강변 분위기입니다.  덤으로 강가에 가면 날아오르는 물고기들을 볼 수 있습니다.  ""해적"" 영화에서 유해진이 날치를 설명하는데요. 그 장~~~관의 모습을 볼 수 있습니다. ",,
12207,APEC나루공원,g2gppv,3,,,
12207,APEC나루공원,8s5m7b,4,,,
12207,APEC나루공원,lglhb9,4,포켓몬고,,
12207,APEC나루공원,Dark249,,해운대에서 유일하게 폭리를 취하지 않는 주차장,,
12207,APEC나루공원,ssubelnum,,????????????????,,
12207,APEC나루공원,so****,,카니발기준 주차자리 넘 비좁아요 끝자리외에 내릴수가 없네요,,
12207,APEC나루공원,cjsgmlwk,,산책하기 좋아요,,
12207,APEC나루공원,호이호이1228,,동백섬이용하기 굿,,
12207,APEC나루공원,kim****,,주차장에 차가 많아서 줄서서 들어갔습니다,,
12207,APEC나루공원,아름이7469,,좋아요,,
12207,APEC나루공원,황혜빈70,,굿,,
12207,APEC나루공원,달콤소금,,APEC 좋아요,,
12207,APEC나루공원,료짱83,,산책하기 좋아요,,
12207,APEC나루공원,kun****,,굿,,
12207,APEC나루공원,Moment,,굿,,
12207,APEC나루공원,만년사춘기소녀,,공영주차장이라 넓고 편해요,,
12207,APEC나루공원,sum****,,여여여여ㅕㅇ여,,
12207,APEC나루공원,wod****,,좋아요~~~!!!,,
12207,APEC나루공원,미래요정,,굿,,
12207,APEC나루공원,eeage,3,편리하게 이용했어요,,
12207,APEC나루공원,비또똘,,저렴합니당 좋아용,,
12207,APEC나루공원,밥풀8585,,좋아요,,
12207,APEC나루공원,프롬나데,,굿,,
12207,APEC나루공원,jun****,,굿,,
12207,APEC나루공원,huggasi,,,,
12207,APEC나루공원,atcoh,,호,,
12207,APEC나루공원,duck0069,,좋아요,,
12207,APEC나루공원,bandits65,,좋아요,,
12207,APEC나루공원,사랑과기쁨98,1,"주차비너무비쌈.
시민들을위한공원인데.
주차비까지받는건아니라고생각합니다.",,
12207,APEC나루공원,꿈꾸는자유,,,,
12207,APEC나루공원,plucktheday26,,좋아요,,
12207,APEC나루공원,배짱마눌,,좋아요.,,
